YBR221C,YBR229C
YDR190C,YNL088W
YER172C,YMR017W
YBL054W,YMR259C
YMR058W,YIL016W
YKR095W,YPR108W
YBR021W,YER151C
YNL175C,YNL061W
YOR370C,YNL093W
YFL005W,YML001W
YDR337W,YDR494W
YOR335C,YOR284W
YNL132W,YLR075W
YDR280W,YNR024W
YFL009W,YDR146C
YDR432W,YBL061C
YFL057C,YIR038C
YEL003W,YML128C
YKR024C,YNL308C
YKR101W,YHR084W
YDR299W,YPR181C
YDR341C,YIR012W
YIL036W,YCR084C
YDR341C,YCL037C
YHR057C,YKL103C
YDR012W,YDL083C
YMR299C,YGL124C
YPR185W,YNL086W
YOL129W,YJL217W
YMR239C,YOR004W
YDL135C,YER125W
YGL053W,YDR427W
YGR113W,YLR045C
YER165W,YBR127C
YJL020C,YNL271C
YBL078C,YBL058W
YOR188W,YBR166C
YOR054C,YKL023W
YDR097C,YDL156W
YPL146C,YLR221C
YMR239C,YOR001W
YER007C-A,YJR014W
YBR160W,YMR104C
YGL172W,YML092C
YBL092W,YDR012W
YMR309C,YDR432W
YAL020C,YAR007C
YPL146C,YLR222C
YJL161W,YLR259C
YOR221C,YKL211C
YLR069C,YNL306W
YJR065C,YJR093C
YLR216C,YDR071C
YDR046C,YDR390C
YOL058W,YIL094C
YMR116C,YJR145C
YOR122C,YCR030C
YIL079C,YOL124C
YPL198W,YER131W
YBR258C,YBR259W
YKL198C,YKL166C
YLL034C,YLR435W
YPR043W,YOR293W
YGL194C,YHR124W
YKR102W,YOR003W
YGR267C,YNL007C
YNR053C,YPL012W
YBR191W,YHL015W
YBR084C-A,YGL147C
YJL191W,YJL136C
YFL023W,YNL061W
YOR005C,YBR088C
YGR286C,YLR180W
YPR082C,YEL026W
YLL026W,YOR027W
YKR080W,YEL073C
YLR106C,YLR075W
YNL061W,YNR012W
YLR330W,YLR380W
YDL093W,YIL039W
YLR333C,YPL081W
YPL082C,YBR118W
YMR174C,YBR111C
YER036C,YKL006W
YDR508C,YER144C
YLL061W,YDL212W
YCL014W,YPR169W
YMR318C,YBR006W
YHR169W,YPR144C
YNR002C,YKL073W
YOR204W,YDR381W
YER011W,YGL227W
YER053C,YGR008C
YER088C,YNL142W
YJL050W,YAL036C
YML010W,YGR054W
YOL033W,YOL038W
YLR048W,YCR052W
YPL267W,YMR179W
YKL180W,YBL072C
YBR036C,YML008C
YHR124W,YBR103W
YGL135W,YFL002C
YLR048W,YER131W
YER110C,YJL050W
YOR101W,YNL090W
YBR153W,YBR154C
YOR204W,YDR382W
YMR242C,YLR333C
YOR035C,YMR160W
YFL001W,YOR150W
YBR278W,YNL054W
YPR101W,YKL095W
YGR159C,YJR123W
YOL077C,YDL082W
YJL092W,YER095W
YBR153W,YBR152W
YOR101W,YNL093W
YBR031W,YBR181C
YDR083W,YEL048C
YMR116C,YJR139C
YCR008W,YKR050W
YDL103C,YBR219C
YOR347C,YHR033W
YBL038W,YDR450W
YFL057C,YHR043C
YBL078C,YBL050W
YDL248W,YBL023C
YOL033W,YOL039W
YBR023C,YDR484W
YPL177C,YDR160W
YLR044C,YLR043C
YOR134W,YIL101C
YOL003C,YPL264C
YOR197W,YNL186W
YPL086C,YOL051W
YAL023C,YER011W
YOL095C,YPR166C
YKR095W,YOR077W
YMR131C,YJL010C
YBR084W,YOR293W
YJR084W,YPL012W
YBL015W,YOL086C
YMR143W,YNL302C
YHR165C,YOR159C
YHR089C,YDR432W
YBR199W,YJL139C
YMR001C,YDR416W
YCR046C,YGR220C
YDL171C,YER055C
YHR042W,YMR186W
YPL125W,YGR119C
YHL033C,YBR118W
YDL029W,YGL250W
YHL032C,YDR123C
YBR102C,YIL046W
YBR243C,YDR166C
YFL039C,YKR001C
YNL110C,YDL075W
YBL064C,YML131W
YLR093C,YNL272C
YDR040C,YMR154C
YKR095W,YOR075W
YCR047C,YDR339C
YLR106C,YGL103W
YPL154C,YGR172C
YOR101W,YNL098C
YDR025W,YOL121C
YBL003C,YDR224C
YMR083W,YGL256W
YER006W,YML065W
YPR025C,YNL025C
YIL021W,YMR143W
YOR233W,YBR233W
YCR005C,YLR178C
YPL231W,YNL202W
YCR027C,YBR264C
YGL099W,YMR229C
YBL078C,YKL103C
YLR418C,YHR167W
YKR067W,YML063W
YBL105C,YOL045W
YPL047W,YMR236W
YHL001W,YLR061W
YER155C,YKR055W
YHR079C,YIL109C
YEL054C,YGL076C
YNL308C,YBR189W
YOR140W,YNL007C
YGR006W,YDR293C
YHR030C,YHL007C
YDR407C,YDR472W
YKL116C,YLR389C
YOR231W,YML016C
YLR186W,YKL181W
YNL161W,YDR528W
YMR113W,YOR241W
YJL069C,YDR449C
YER177W,YNR052C
YBL099W,YPL078C
YAL034C,YIL084C
YLR276C,YOR243C
YKR076W,YKL103C
YKR068C,YFL005W
YDR508C,YLL039C
YER133W,YNR034W
YKR092C,YKL023W
YGL031C,YJR145C
YNL005C,YBL004W
YNL298W,YBR267W
YKR009C,YMR226C
YNL192W,YGL081W
YDR299W,YNL132W
YKR076W,YGR152C
YPR169W,YDR341C
YHR007C,YPL274W
YAL060W,YPL206C
YDR448W,YBR198C
YBR031W,YBR189W
YBR231C,YNL107W
YJL191W,YIL069C
YGR271C-A,YNL313C
YKR086W,YGL120C
YDL055C,YGR214W
YBR087W,YGR270W
YNL185C,YJL023C
YML010W,YPL042C
YAR019C,YJR059W
YBR041W,YGR229C
YDR418W,YCL054W
YGL116W,YJL030W
YOR355W,YLR305C
YDR174W,YMR140W
YLL004W,YGR118W
YLR117C,YGL192W
YER025W,YHR203C
YPR010C,YFR052W
YIL020C,YLR006C
YDR234W,YKL010C
YOR312C,YNL302C
YPL131W,YLR367W
YOR026W,YLL043W
YDR224C,YDR303C
YER068W,YML098W
YCL061C,YBL088C
YMR091C,YIL068C
YGR220C,YGR233C
YMR239C,YDR045C
YDR138W,YGL044C
YKR099W,YKR080W
YGR078C,YIL008W
YJR137C,YDL171C
YHL020C,YCL004W
YLR361C,YDR452W
YKL087C,YJL096W
YGL128C,YBL104C
YHR047C,YPL078C
YFL031W,YNL322C
YJL165C,YJL129C
YLR432W,YHL047C
YML075C,YLR142W
YNL007C,YHL034C
YML070W,YFL053W
YAL059W,YOR310C
YPR102C,YPL131W
YIL009C-A,YJL043W
YDR054C,YOL063C
YLR196W,YOR287C
YKL143W,YDR324C
YNL112W,YMR049C
YNL290W,YMR089C
YMR316W,YIR019C
YAL021C,YAL016W
YOL011W,YLR075W
YER006W,YHR088W
YGR214W,YHL015W
YCR002C,YLR330W
YCR031C,YOL040C
YKR048C,YLR058C
YBR296C,YGL158W
YMR174C,YOR347C
YGR034W,YIL052C
YOR188W,YHR030C
YMR194W,YNL178W
YHR019C,YDR510W
YIL043C,YBR189W
YHR042W,YGR240C
YOR128C,YBR151W
YMR309C,YDR429C
YLR048W,YOR117W
YPL259C,YDR238C
YDR418W,YGR118W
YML048W,YEL001C
YAL021C,YAL013W
YCL027W,YDL199C
YOL140W,YOR130C
