YAL012W,YJR010W
YAL012W,YJR017C
YAL012W,YJR137C
YAL012W,YJR139C
YAL012W,YKL001C
YAL012W,YKL096W
YAL012W,YKR043C
YAL012W,YKR069W
YAL012W,YLL024C
YAL012W,YLL058W
YAL012W,YLL061W
YAL012W,YLL062C
YAL012W,YLR092W
YAL012W,YLR179C
YAL012W,YLR180W
YAL012W,YLR192C
YAL012W,YLR303W
YAL012W,YLR364W
YAL012W,YLR378C
YAL012W,YLR380W
YAL012W,YML018C
YAL012W,YML124C
YAL012W,YMR276W
YAL012W,YMR296C
YAL012W,YMR301C
YAL012W,YNL241C
YAL012W,YNL277W
YAL012W,YNL300W
YAL012W,YNL322C
YAL012W,YOL064C
YAL012W,YPL274W
YAL012W,YPR074C
YAL012W,YPR167C
YAL013W,YAL014C
YAL013W,YAL020C
YAL013W,YAL039C
YAL013W,YAL043C
YAL013W,YCL010C
YAL013W,YDR388W
YAL013W,YDR432W
YAL013W,YEL017W
YAL013W,YER018C
YAL013W,YER019W
YAL013W,YER153C
YAL013W,YFR034C
YAL013W,YGL025C
YAL013W,YGL063W
YAL013W,YGL181W
YAL013W,YGR013W
YAL013W,YHL025W
YAL013W,YIL022W
YAL013W,YIL154C
YAL013W,YJR093C
YAL013W,YKL032C
YAL013W,YKL198C
YAL013W,YKL204W
YAL013W,YKR048C
YAL013W,YKR072C
YAL013W,YLR116W
YAL013W,YLR141W
YAL013W,YLR281C
YAL013W,YML010W
YAL013W,YML032C
YAL013W,YMR109W
YAL013W,YMR276W
YAL013W,YNL097C
YAL013W,YNL240C
YAL013W,YNL245C
YAL013W,YOL110W
YAL013W,YOR083W
YAL013W,YPL049C
YAL013W,YPR152C
YAL014C,YAL021C
YAL014C,YBR016W
YAL014C,YCL008C
YAL014C,YHR200W
YAL014C,YJL083W
YAL014C,YJL174W
YAL014C,YJR017C
YAL014C,YJR065C
YAL014C,YKL019W
YAL014C,YKL098W
YAL014C,YKL184W
YAL014C,YKR045C
YAL014C,YLL010C
YAL014C,YLR055C
YAL014C,YLR315W
YAL014C,YML013W
YAL014C,YMR253C
YAL014C,YMR276W
YAL015C,YDL104C
YAL015C,YIL152W
YAL015C,YJR130C
YAL015C,YKL040C
YAL015C,YKL218C
YAL015C,YLR145W
YAL016W,YAL017W
YAL016W,YAL041W
YAL016W,YAR027W
YAL016W,YDL029W
YAL016W,YDL097C
YAL016W,YER021W
YAL016W,YHR074W
YAL016W,YJL036W
YAL016W,YJL141C
YAL016W,YJR033C
YAL016W,YJR065C
YAL016W,YJR125C
YAL016W,YKL013C
YAL016W,YKL094W
YAL016W,YKL100C
YAL016W,YKL126W
YAL016W,YKL135C
YAL016W,YKL193C
YAL016W,YKL210W
YAL016W,YKL213C
YAL016W,YLR025W
YAL016W,YLR240W
YAL016W,YMR092C
YAL016W,YMR258C
YAL016W,YNL045W
YAL016W,YNL297C
YAL016W,YNR035C
YAL016W,YPL260W
YAL017W,YAL061W
YAL017W,YAR027W
YAL017W,YBL047C
YAL017W,YBR001C
YAL017W,YBR059C
YAL017W,YBR139W
YAL017W,YBR169C
YAL017W,YCR011C
YAL017W,YDL019C
YAL017W,YDR001C
YAL017W,YDR074W
YAL017W,YDR122W
YAL017W,YDR251W
YAL017W,YDR293C
YAL017W,YDR479C
YAL017W,YEL011W
YAL017W,YEL012W
YAL017W,YER162C
YAL017W,YFR019W
YAL017W,YGL141W
YAL017W,YGL227W
YAL017W,YGR070W
YAL017W,YGR194C
YAL017W,YHR028C
YAL017W,YJL005W
YAL017W,YJL020C
YAL017W,YJL042W
YAL017W,YJL066C
YAL017W,YJL068C
YAL017W,YJL070C
YAL017W,YJL094C
YAL017W,YJL141C
YAL017W,YJL155C
YAL017W,YJL163C
YAL017W,YJL164C
YAL017W,YJR033C
YAL017W,YJR059W
YAL017W,YJR091C
YAL017W,YJR096W
YAL017W,YJR126C
YAL017W,YJR127C
YAL017W,YKL010C
YAL017W,YKL035W
YAL017W,YKL067W
YAL017W,YKL091C
YAL017W,YKL100C
YAL017W,YKL103C
YAL017W,YKL105C
YAL017W,YKL121W
YAL017W,YKL129C
YAL017W,YKL162C
YAL017W,YKL213C
YAL017W,YKR067W
YAL017W,YKR089C
YAL017W,YLL040C
YAL017W,YLR149C
YAL017W,YLR189C
YAL017W,YLR206W
YAL017W,YLR219W
YAL017W,YLR248W
YAL017W,YLR258W
YAL017W,YLR270W
YAL017W,YLR345W
YAL017W,YLR371W
YAL017W,YML070W
YAL017W,YML100W
YAL017W,YML117W
YAL017W,YMR031C
YAL017W,YMR110C
YAL017W,YMR139W
YAL017W,YMR160W
YAL017W,YMR258C
YAL017W,YMR261C
YAL017W,YNL115C
YAL017W,YNL274C
YAL017W,YOL013C
YAL017W,YOL087C
YAL017W,YOL096C
YAL017W,YOR086C
YAL017W,YOR124C
YAL017W,YOR227W
YAL017W,YPL006W
YAL017W,YPL087W
YAL017W,YPL203W
YAL017W,YPL260W
YAL017W,YPR026W
YAL017W,YPR184W
YAL018C,YBR076W
YAL018C,YBR180W
YAL018C,YCL048W
YAL018C,YDL114W
YAL018C,YDL186W
YAL018C,YDR218C
YAL018C,YDR317W
YAL018C,YDR374C
YAL018C,YDR446W
YAL018C,YDR522C
YAL018C,YER085C
YAL018C,YER106W
YAL018C,YFL003C
YAL018C,YFL011W
YAL018C,YFL012W
YAL018C,YFL040W
YAL018C,YFR012W
YAL018C,YFR023W
YAL018C,YFR032C
YAL018C,YGL089C
YAL018C,YGL138C
YAL018C,YGL170C
YAL018C,YGR059W
YAL018C,YHL043W
YAL018C,YHR079C,A
YAL018C,YHR185C
YAL018C,YJL027C
YAL018C,YJL028W
YAL018C,YJL038C
YAL018C,YJL136W,A
YAL018C,YJL214W
YAL018C,YJL219W
YAL018C,YKL037W
YAL018C,YKL178C
YAL018C,YKL221W
YAL018C,YLL005C
YAL018C,YLL046C
YAL018C,YLR013W
YAL018C,YLR162W
YAL018C,YLR307W
YAL018C,YLR308W
YAL018C,YLR445W
YAL018C,YML066C
YAL018C,YMR244W
YAL018C,YNL210W
YAL018C,YNL269W
